category_id,name,slug,description,price,stock_quantity,weight_grams,image_url,is_active,average_rating,benefit,composition,directions,storage_instructions,manufacturer,marketing_location,production_location,regency,licensing,licensing_number
1,Galian Rapat Wangi,,"Khasiat: memulihkan elastisitas dan daya otot Miss V, menghilangkan gatal, keputihan, serta bau tidak sedap, mencegah penuaan dini dan kanker serviks, menstabilkan pH asam, mengatur cairan berlebih, meningkatkan hormon estrogen, membina serta membersihkan rahim pasca bersalin atau haid, melancarkan pencernaan, hingga membunuh bakteri penyebab gatal agar organ intim terasa bersih dan kembali kencang. | Aturan Pakai: Diminum Sehari 2 Kali Sebanyak 3 Pil | Jenis: pil",54300,100,100,,1,3.1,"memulihkan elastisitas dan daya otot Miss V, menghilangkan gatal, keputihan, serta bau tidak sedap, mencegah penuaan dini dan kanker serviks, menstabilkan pH asam, mengatur cairan berlebih, meningkatkan hormon estrogen, membina serta membersihkan rahim pasca bersalin atau haid, melancarkan pencernaan, hingga membunuh bakteri penyebab gatal agar organ intim terasa bersih dan kembali kencang.","Manjakani (Quercus Indica) 125 mg, Pinang (Areca Catche) 62,5 mg, Kulit Jeruk Manis (Citrus sinensis) 10 mg, dan Madu (Mel depuratum) 41 mg.",Diminum Sehari 2 Kali Sebanyak 3 Pil,"Simpan di tempat yang kering, sejuk (di bawah 30°C), dan jangan terkena matahari langsung.",Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,Empot-empot legit,,"Khasiat: bermanfaat untuk mengencangkan kembali otot daerah kewanitaan, menghilangkan lendir agar menjadi keset, memberikan kepuasan dalam hubungan suami istri, menjaga kesehatan tubuh, serta menjadikan awet muda. | Aturan Pakai: Diminum Sehari 3 Kali Sebanyak 3 Pil | Jenis: pil",50000,100,100,,1,4.9,"bermanfaat untuk mengencangkan kembali otot daerah kewanitaan, menghilangkan lendir agar menjadi keset, memberikan kepuasan dalam hubungan suami istri, menjaga kesehatan tubuh, serta menjadikan awet muda.","Temu Kunci (Boesenbergiae Panduratae Rhizoma), Kencur (Kaempferiae Galangae Rhizoma), Temulawak (Curcumae Rhizoma), dan Daun Kemuning (Murrayae Folium).",Diminum Sehari 3 Kali Sebanyak 3 Pil,Simpan tidak lebih dari 24 bulan setelah kemasan dibuka,PT. Firdaus Kurnia Indah,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Bangkalan,BPOM,
1,galian singset,,"Khasiat: mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB | Aturan Pakai: Diminum Sehari 3 Kali Sebanyak 3 Pil | Jenis: pil",30999,100,100,,1,4.7,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB",Daun Senna (Cassia Angustifolia Folium),Diminum Sehari 3 Kali Sebanyak 3 Pil,"Simpan di tempat yang kering, sejuk (di bawah 30°C), dan jangan terkena matahari langsung.",Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,jamu galian montok,,"Khasiat: bermanfaat untuk mengencangkan dan membesarkan payudara agar padat serta kenyal, menjaga tubuh tetap sintal, singset, dan ideal, sekaligus merawat kulit agar cantik, halus, ringkas, serta mengencangkan kulit yang kendor supaya tetap awet muda. | Aturan Pakai: Diminum Sehari 2 Kali Sebanyak 5 Pil | Jenis: pil",31970,100,100,,1,4.0,"bermanfaat untuk mengencangkan dan membesarkan payudara agar padat serta kenyal, menjaga tubuh tetap sintal, singset, dan ideal, sekaligus merawat kulit agar cantik, halus, ringkas, serta mengencangkan kulit yang kendor supaya tetap awet muda.","Adas (Foeniculum Vulgare Mill), Kayu Angin (Usnia Vain), Kemukus (Piper Cubeba), Keji Beling (Sericocalyx Crispus), Klabet, Madu Murni, dan aneka bahan herbal berkhasiat lainnya.",Diminum Sehari 2 Kali Sebanyak 5 Pil,"Simpan di tempat yang kering, sejuk (di bawah 30°C), dan jangan terkena matahari langsung.",UD Firdaus,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Bangkalan,BPOM,
1,jamu terlambat bulan (lancar darah),,"Khasiat: mengurangi nyeri haid dan membantu melancarkan haid sehingga dapat teratur | Aturan Pakai: Diminum Sehari 3 kali Sebanyak 1 Sachet, Diminum waktu dekat haid, Diseduh degan 100 ml air matang lalu diminum | Jenis: pil",15950,100,100,,1,3.8,mengurangi nyeri haid dan membantu melancarkan haid sehingga dapat teratur,"Piperis Nigris Fructus (Merica hitam) 0.7 g, Zingiberis Rhizoma (Jahe) 0.84 g, Alstoniae Cortex (Kulit pule) 0.84 g, Retrofracti Fructus (Cabe jawa) 0.56 g, dan bahan lain hingga 7 g","Diminum Sehari 3 kali Sebanyak 1 Sachet, Diminum waktu dekat haid, Diseduh degan 100 ml air matang lalu diminum","Simpan di tempat yang kering, sejuk (di bawah 30°C)",Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,BPOM,
1,Jamu Lancar Asi (Wejah),,"Khasiat: Bagi ibu hamil melancarkan keluarnya ASI | Aturan Pakai: Diminum Sehari 2 Kali Sebanyak 1 Sachet, Direkomendasikan diminum pagi dan sore hari | Jenis: pil",33221,100,100,,1,4.8,Bagi ibu hamil melancarkan keluarnya ASI,"Sambiloto (Andrographis Paniculata Folium), Jintan Karaway (Carum Carvi Fructus), Kunyit (Curcumae domesticae Rhizoma), Adas (Foeniculum Vulgare Fructus), dan Lempuyang Wangi (Zingiberis aromaticae Rhizoma).","Diminum Sehari 2 Kali Sebanyak 1 Sachet, Direkomendasikan diminum pagi dan sore hari","Simpan di tempat yang kering, sejuk (di bawah 30°C)",UD JAMU IBU TJIPTO,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,v-spa rempah,,"Khasiat: V-Spa Rempah bermanfaat untuk mendetoks area kewanitaan, mengatasi keputihan serta lendir berlebihan, mengurangi bau tak sedap, dan membersihkan area kewanitaan agar wangi serta bebas gatal. | Aturan Pakai: Rebus semua rempah pada air mendidih, setelah mendidih uapkan ke area kewanitaan selama kurang lebih 30 menit | Jenis: serbuk",47500,100,100,,1,3.1,"V-Spa Rempah bermanfaat untuk mendetoks area kewanitaan, mengatasi keputihan serta lendir berlebihan, mengurangi bau tak sedap, dan membersihkan area kewanitaan agar wangi serta bebas gatal.","Kayu Gaharu (Aquilaria malaccensis), Secang (Caesalpinia sappan), Sentok (Cinnamomum sintoc), Temu Gunung (Curcuma heyneana), dan Pandiyan (Parameria laevigata).","Rebus semua rempah pada air mendidih, setelah mendidih uapkan ke area kewanitaan selama kurang lebih 30 menit",Simpan di tempat yang kering ,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,Paket Jamu Bersalin,,"Khasiat: Merawat tubuh ibu setelah melahirkan. Mengembalikan kesehatan dan kekencangan tubuh, memperlancar produksi ASI, mengatasi pegal-pegal dan varises yang timbul setelah melahirkan. | Aturan Pakai: Gunakan sesuai dengan prosedur masing masing jamu | Jenis: pil",285000,100,100,,1,4.6,"Merawat tubuh ibu setelah melahirkan. Mengembalikan kesehatan dan kekencangan tubuh, memperlancar produksi ASI, mengatasi pegal-pegal dan varises yang timbul setelah melahirkan.","Merupakan paket jamu yang terdiri dari: Jamu galian Param [Param Tabuk], Jamu Melancarkan ASI, Param Atas, Param Bawah, Tapel Pilis, Cebokan Rempah, Dupa Ratus, Godokan Temulawak,Jamu 40 hari ",Gunakan sesuai dengan prosedur masing masing jamu,Simpan sesuai dengan petunjuk pada masing masing jamu,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,Paket Perawatan Pranikah,,"Khasiat: Produk ini bekerja efektif untuk memudarkan aroma tubuh yang mengganggu agar tetap segar sepanjang hari, sekaligus menutrisi kulit hingga tampak lebih bersih, sehat, dan bercahaya secara alami. | Aturan Pakai: Gunakan sesuai dengan prosedur masing masing jamu | Jenis: serbuk",200000,100,100,,1,4.4,"Produk ini bekerja efektif untuk memudarkan aroma tubuh yang mengganggu agar tetap segar sepanjang hari, sekaligus menutrisi kulit hingga tampak lebih bersih, sehat, dan bercahaya secara alami.","Merupakan paket jamu yang terdiri dari: Lulur Rempah, Jamu Godokan Rapet Wangi, Dupa Ratus, V-SPA Rempah, Cemceman Rambut, Bedak Segar, Parfum Rempah, dan Cebokan Rempah.",Gunakan sesuai dengan prosedur masing masing jamu,Simpan sesuai dengan petunjuk pada masing masing jamu,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,Paket Ramuan Khusus Wanita,,"Khasiat: perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra, serta mengurangi keputihan dan bau badan tidak sedap | Aturan Pakai: Gunakan sesuai dengan prosedur masing masing jamu | Jenis: serbuk dan pil",175000,100,100,,1,3.3,"perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra, serta mengurangi keputihan dan bau badan tidak sedap","Merupakan paket jamu yang terdiri dari: Galian Rapet Wangi, Empot-empot Legit, Pancuran Nikmat, Butiran Delima, Tongkat Madura.",Gunakan sesuai dengan prosedur masing masing jamu,Simpan sesuai dengan petunjuk pada masing masing jamu,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
